disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,2,CHEMBL608533,specific,CHEMBL3595193,760,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL3595193,760,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4622430,760,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL5134964,759,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL5134965,759,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL5134966,759,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4183796,758,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4183797,758,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4183798,758,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4183799,758,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4183794,757,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4183795,757,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4385991,756,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4385992,756,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4385993,756,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4385996,755,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4385997,755,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4385998,755,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4155926,754,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4155927,753,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4155928,753,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4155929,753,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL3301622,specific,CHEMBL5107691,752,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
