symbol,overall_score,uniprot_id,chembl_score,uniprot_variants_score,cancer_gene_census_score,intogen_score,eva_somatic_score,eva_score,uniprot_literature_score,gene_burden_score,slapenrich_score,cancer_biomarkers_score,europepmc_score,genomics_england_score,gene2phenotype_score,clingen_score,orphanet_score,impc_score,crispr_score,expression_atlas_score,reactome_score,ot_genetics_portal_score
POLE3,0.6016748904742573,['Q9NRF9'],0.9897095077894698,,,,,,,,,,,,,,,,,,,
POLA1,0.6016748904742573,['P09884'],0.9897095077894698,,,,,,,,,,,,,,,,,,,
POLD3,0.6016748904742573,['Q15054'],0.9897095077894698,,,,,,,,,,,,,,,,,,,
CBL,0.6010069173694226,['P22681'],,,0.8132340940550455,0.42926185673397066,,,,,0.9325660466483698,,0.5950752007860066,,,,,0.45896137475494425,,,,
RARB,0.5961223845640616,['P10826'],0.9617445583900892,,,,,,,,,,0.37662997592210196,,,,,,,,,
RAD21,0.5884408140825689,['O60216'],,,0.7556917553644457,0.5679309584693065,0.4377101742803672,,,,0.658169184136247,,0.13296390433148778,,,,,,,,,
RRM1,0.5882707922921177,['P23921'],0.9581485279810287,,,,,,,,,,0.1902451222714555,,,,,,,,,
FANCD2,0.5873232732115736,['Q9BXW9'],,,0.4559480982087158,,0.547137717850459,,,,,,0.10773884691005951,0.7599134970145264,,,,0.2515617640516888,0.2581170818423349,,,
KDR,0.5830294541889404,['P35968'],0.8397343971875008,,0.4559480982087158,,,,,,,,0.23929916248145375,,,,,,,,,
CD33,0.5797546758934528,['P20138'],0.8991767539135453,,,,,,,,,,0.9650360990034067,,,,,0.2800737184596738,,,,
