symbol	globalScore	otGeneticsPortal	eva	geneBurden	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
POLD4	0.6016748904742573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.1588799999999999	No data	0.19899979162325487	-0.05905544609812324	0	No data	No data	No data	0.5	-1
CBL	0.6010069173694226	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8132340940550455	0.42926185673397066	No data	No data	No data	No data	No data	0.9325660466483698	No data	No data	No data	0.5950752007860066	No data	0.45896137475494425	No data	0	0	0	0	0	0.6633549999999999	No data	-0.4940612627630756	-0.936721610376476	0	No data	-1	0	-1	-1
RARB	0.5961223845640616	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9617445583900892	No data	No data	No data	No data	No data	No data	0.37662997592210196	No data	No data	1	0	0	1	1	0	0.921875	0	-0.9656178370493853	-0.7086560822574619	0	-1	No data	-0.3582599999999999	-1	0
RAD21	0.5884408140825689	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7556917553644457	0.5679309584693065	0.4377101742803672	No data	No data	No data	No data	0.658169184136247	No data	No data	No data	0.13296390433148778	No data	No data	No data	0	0	0	0	0	0.8573700000000002	No data	-0.8163158991456554	-0.2968774632995319	-1	No data	-1	0	-1	-1
RRM1	0.5882707922921177	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9581485279810287	No data	No data	No data	No data	No data	No data	0.1902451222714555	No data	No data	1	0	0	0	1	1	0.88005	No data	-0.9770785580329235	No data	-1	No data	No data	No data	-1	-1
FANCD2	0.5873232732115736	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	0.547137717850459	No data	No data	No data	0.2581170818423349	No data	No data	No data	No data	0.10773884691005951	No data	0.2515617640516888	No data	0	0	0	0	0	0	No data	-0.0297978745571994	-0.8853361477186827	0	No data	-1	No data	0.5	0
KDR	0.5830294541889404	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.8397343971875008	No data	No data	No data	No data	No data	No data	0.23929916248145375	No data	No data	1	0	0	1	1	1	0.28466000000000025	1	-0.8257970410502188	-0.9047647928572822	0	-1	-1	0	-1	0
CD33	0.5797546758934528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8991767539135453	No data	No data	No data	No data	No data	No data	0.9650360990034067	No data	0.2800737184596738	1	1	0	0	0	0	0	No data	0.47009793707022296	-0.8066207817599582	0	No data	No data	0	0.5	0
ABL1	0.5718997891232702	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7556917553644457	No data	No data	No data	0.6280538560578216	No data	No data	0.3314162096111645	No data	No data	No data	0.7691596767144839	No data	No data	1	0	0	1	1	1	0.32301	1	-0.9151906647218171	-0.9640279924595135	0	-1	-1	0	-1	-1
TXNRD1	0.5710593837554495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9285790699742311	No data	No data	No data	No data	No data	No data	0.21540507986373764	No data	No data	1	0	0	1	1	1	0	No data	-0.23150656386747237	No data	0	No data	No data	-0.09091000000000005	-1	-1
