parent_compound_id,target_id,target_uniprot_ids,compound_specificity
CHEMBL1489,CHEMBL1841,"['B5BU57', 'E1P557', 'H0UI48', 'P06241', 'Q16248', 'Q5R3A6', 'Q5R3A7', 'Q8N5D7']",acceptable
CHEMBL1489,CHEMBL1824,"['B2RZG3', 'B4DHN3', 'P04626', 'Q14256', 'Q6LDV1', 'Q9UMK4', 'X5D2V5']",acceptable
CHEMBL1489,CHEMBL258,"['D3DPP8', 'P06239', 'P07100', 'Q12850', 'Q13152', 'Q5TDH8', 'Q5TDH9', 'Q7RTZ3', 'Q96DW4', 'Q9NYT8']",acceptable
CHEMBL1489,CHEMBL3243,"['A0A0A0MT22', 'A8K7W6', 'P08575', 'Q16614', 'Q9H0Y6', 'X6R433']",acceptable
CHEMBL1489,CHEMBL273,['P19327'],acceptable
CHEMBL1489,CHEMBL3459,['P28564'],acceptable
CHEMBL1489,CHEMBL224,"['B2RAC5', 'B4DZ79', 'F5GWE8', 'P28223', 'Q5T8C0']",acceptable
CHEMBL1489,CHEMBL220,"['A4D2E2', 'B7ZKZ0', 'D6W5X7', 'P22303', 'Q16169', 'Q29S23', 'Q2M324', 'Q504V3', 'Q53F46', 'Q86TM9', 'Q86YX9', 'Q9BXP7']",acceptable
CHEMBL1489,CHEMBL226,"['A6NFY5', 'A6NGP4', 'A8K1L3', 'B3KXQ4', 'D2CGD0', 'P30542', 'Q6FHK3', 'Q8TAM8']",acceptable
CHEMBL1489,CHEMBL251,"['B2R7E0', 'P29274']",acceptable
CHEMBL1489,CHEMBL256,"['A2A3P4', 'P0DMS8', 'P33765', 'Q6UWU0', 'Q9BYZ1']",acceptable
CHEMBL1489,CHEMBL319,['P43140'],acceptable
CHEMBL1489,CHEMBL315,"['P15823', 'Q63215']",acceptable
